Run 13 -> fitness=23499.16 | time=8.91
Run 14 -> fitness=23792.27 | time=8.98
Run 15 -> fitness=23868.07 | time=8.72
Run 16 -> fitness=23633.11 | time=8.07
Run 17 -> fitness=23527.57 | time=8.14
Run 18 -> fitness=23374.70 | time=8.28
Run 19 -> fitness=23006.93 | time=7.12
Run 20 -> fitness=23803.98 | time=8.85
Run 21 -> fitness=23110.97 | time=7.56
Run 22 -> fitness=24505.52 | time=10.31
Run 23 -> fitness=23929.73 | time=9.45
Run 24 -> fitness=23632.12 | time=8.30
Run 25 -> fitness=23594.95 | time=8.85
Run 26 -> fitness=24027.49 | time=9.74
Run 27 -> fitness=24379.99 | time=10.59
Run 28 -> fitness=24138.73 | time=10.23
Run 29 -> fitness=23585.69 | time=8.78
Run 30 -> fitness=24102.93 | time=9.04
----------------------
Média do tempo: 8.8516 secs
Média do fitness: 23792.6790 Gbps

5th Run - 200 gen - 10 gen convergence - max convergence 5 - threshold 50
Run 1 -> fitness=24540.14 | time=7.84
Run 2 -> fitness=24714.07 | time=8.41
Run 3 -> fitness=23853.01 | time=6.99
Run 4 -> fitness=24699.80 | time=9.01
Run 5 -> fitness=24381.19 | time=8.12
Run 6 -> fitness=24280.11 | time=7.93
Run 7 -> fitness=24791.76 | time=7.94
Run 8 -> fitness=24396.61 | time=7.84
Run 9 -> fitness=24451.97 | time=8.22
Run 10 -> fitness=23867.16 | time=6.88
Run 11 -> fitness=24369.33 | time=8.23
Run 12 -> fitness=24690.81 | time=8.96
Run 13 -> fitness=24351.02 | time=8.28
Run 14 -> fitness=24740.95 | time=8.78
Run 15 -> fitness=23994.79 | time=7.74
Run 16 -> fitness=24942.94 | time=8.36
Run 17 -> fitness=24306.94 | time=8.07
Run 18 -> fitness=24275.66 | time=7.65
Run 19 -> fitness=24820.27 | time=9.26
Run 20 -> fitness=24598.84 | time=8.74
Run 21 -> fitness=23587.95 | time=6.56
Run 22 -> fitness=24676.99 | time=8.91
Run 23 -> fitness=23948.35 | time=7.52
Run 24 -> fitness=24179.72 | time=7.93
Run 25 -> fitness=23794.71 | time=6.87
Run 26 -> fitness=24816.33 | time=8.96
Run 27 -> fitness=24436.87 | time=8.31
Run 28 -> fitness=24416.14 | time=8.41
Run 29 -> fitness=24650.45 | time=9.09
Run 30 -> fitness=24797.92 | time=8.88
----------------------
Média do tempo: 8.1563 secs
Média do fitness: 24412.4266 Gbps

6th Run - 1000 Generations - 10 gen convergence - max convergence 10 - threshold 50
Run 1 -> fitness=27665.39 | time=18.24
Run 2 -> fitness=27401.92 | time=17.92
Run 3 -> fitness=27143.62 | time=17.66
Run 4 -> fitness=27393.80 | time=17.88
Run 5 -> fitness=27078.79 | time=17.69
Run 6 -> fitness=26704.49 | time=16.17
Run 7 -> fitness=26801.79 | time=16.57
Run 8 -> fitness=27530.01 | time=18.33
Run 9 -> fitness=27505.09 | time=18.58
Run 10 -> fitness=27647.67 | time=19.16
Run 11 -> fitness=27691.32 | time=19.18
Run 12 -> fitness=27050.85 | time=16.67
Run 13 -> fitness=26945.20 | time=17.35
Run 14 -> fitness=27650.23 | time=18.63
Run 15 -> fitness=27585.49 | time=18.67
Run 16 -> fitness=26620.30 | time=16.41
Run 17 -> fitness=27378.64 | time=17.95
Run 18 -> fitness=27345.81 | time=18.03
Run 19 -> fitness=27197.30 | time=17.51
Run 20 -> fitness=27725.31 | time=19.56
Run 21 -> fitness=26917.68 | time=17.57
Run 22 -> fitness=27419.38 | time=18.34
Run 23 -> fitness=26732.70 | time=16.76
Run 24 -> fitness=27191.86 | time=17.59
Run 25 -> fitness=26783.00 | time=16.83
Run 26 -> fitness=26915.30 | time=18.15
Run 27 -> fitness=27605.10 | time=18.52
Run 28 -> fitness=26658.72 | time=16.61
Run 29 -> fitness=26889.83 | time=16.42
Run 30 -> fitness=27996.06 | time=19.68
----------------------
Média do tempo: 17.8210 secs
Média do fitness: 27239.0883 Gbps

7th Run - 1000000 gen - 10 gen convergence - max convergence 20 - threshold 50
Run 1 -> fitness=28309.45 | time=24.96
Run 2 -> fitness=28517.61 | time=25.45
Run 3 -> fitness=28754.00 | time=27.03
Run 4 -> fitness=28420.30 | time=25.02
Run 5 -> fitness=28186.54 | time=27.98
Run 6 -> fitness=28615.75 | time=26.68
Run 7 -> fitness=28521.99 | time=26.78
Run 8 -> fitness=28815.07 | time=26.99
Run 9 -> fitness=28387.38 | time=25.50
Run 10 -> fitness=28360.01 | time=25.38

8th Run - 1000 gen - 10 convergence - max convergence 5 - threshold 50
un 1 -> fitness=25827.82 | time=9.74
Run 2 -> fitness=26204.24 | time=10.16
Run 3 -> fitness=26104.31 | time=10.45
Run 4 -> fitness=26010.63 | time=10.54
Run 5 -> fitness=26176.52 | time=10.25
Run 6 -> fitness=26197.25 | time=10.34
Run 7 -> fitness=26064.02 | time=10.48
Run 8 -> fitness=26107.24 | time=10.32
Run 9 -> fitness=26032.94 | time=10.97
Run 10 -> fitness=25963.15 | time=10.89
Run 11 -> fitness=25984.05 | time=11.02
Run 12 -> fitness=25984.08 | time=11.09
Run 13 -> fitness=26069.09 | time=11.35
Run 14 -> fitness=26122.70 | time=12.39
Run 15 -> fitness=26075.39 | time=10.88
Run 16 -> fitness=26206.69 | time=10.89
Run 17 -> fitness=26156.38 | time=10.96
Run 18 -> fitness=25894.54 | time=10.90
Run 19 -> fitness=26112.08 | time=11.53
Run 20 -> fitness=26102.99 | time=10.44
Run 21 -> fitness=25938.70 | time=10.78
Run 22 -> fitness=26222.36 | time=11.74
Run 23 -> fitness=25935.28 | time=10.40
Run 24 -> fitness=26120.92 | time=10.45
Run 25 -> fitness=25933.91 | time=11.09
Run 26 -> fitness=26130.19 | time=11.79
Run 27 -> fitness=25981.19 | time=11.47
Run 28 -> fitness=26102.04 | time=11.09
Run 29 -> fitness=26232.86 | time=11.49
Run 30 -> fitness=25986.69 | time=11.41
----------------------
Média do tempo: 10.9100 secs
Média do fitness: 26066.0083 Gbps
